Коди помилок Код помилки 	Error text 	Текст помилки (UA)
20000102898 	Phone belongs to another card 	Даний номер вже присвоєний іншій карті. Для реєстрації вкажіть інший номер
20000203091 	BackwardDelivery Cash2CardPayout_Id required for SecurePayment 	Оберіть банківську картку для зарахування коштів за товар
20000203137 	Empty RecipientAddressName or ServiceType should be to Doors 	Порожній RecipientAddressName або ServiceType має бути Doors
20000103144 	LoyaltyCardNumber incorrect 	Невірний номер картки лояльності
20000203164 	Promocode is invalid 	Промокод не дійсний
20000303165 	OrderRedirect is unavailable with SecurePayment 	Замовлення послуги “Переадресування” для ЕН з послугою “Сейф-сервіс” заблоковано
20002503194 	Parcel has not been loaded in the postmachine 	Відправлення ще не було завантажено у поштомат
20002503195 	Parcel has already been received 	Відправлення вже отримано
20002503199 	Відправлення ще не було завантажено у поштомат 	Відправлення ще не було завантажено у поштомат
20000203200 	Packing not available for SecurePayment and PayerType Recipient 	Замовлення послуги пакування неможливо за рахунок отримувача
20002503201 	Recipient have not got a password 	Відсутня операція відкриття комірки. Підтвердження отримання відправлення заборонено
20000203202 	SecurePayment is allowed for PayerType Recipient 	Оберіть платником за доставку одержувача
20000303203 	Видалення заборонено 	Видалення заборонено
20000303204 	Сервіс недоступний. 	Сервіс недоступний.
20000903216 	Counterparty already trusted and in your sender list 	Клієнт з таким ЄДРПОУ вже існує у вашому структурному підрозділі
20000903217 	Your request for adding trusted counterparty have failed.Your client already added as trusted to another company 	Ваш запит на створення зв'язку з клієнтом не вдався. Обраний клієнт вже має зв'язок з іншим структурним підрозділом
20000903219 	Your counterparty is not one of trusted 	Клієнт не має відношення до структурного підрозділу
20000903221 	CounterpartyRef not found 	Не знайдено контрагента
20000903224 	Counterparty required 	Не обрано контрагента-замовника
20000903225 	EDRPOU required 	Не вказано код ЄДРПОУ
20000203246 	Оберіть банківську картку для зарахування грошового переказу 	Оберіть банківську картку для зарахування грошового переказу
20000203287 	No free cell 	Спробуйте замовити послугу пізніше, тому що зараз немає вільних комірок
20000203297 	cost more then 10000 UAH forbidden for poshtomat 	Оголошена вартість відправлення до поштомату не може перевищувати 10000 грн
20000903303 	Your request for adding trusted counterparty have failed. Your client already exist as master, and can not be used 	Ваш запит на додання клієнта не може бути виконаний. Цей клієнт вже є головним, та має свою структуру
20000903305 	Please immediately contact your manager, because at the moment you have more than one active contract, which causing error 	Будь ласка, терміново зв’яжіться зі своїм менеджером, оскільки на даний момент у вас є більше одного активного договору, що спричиняє помилку
20000103306 	Active card is registered for your personal data 	На ваші персональні дані є зареєстрована активна карта
20000303310 	Оберіть банківську картку для зарахування грошового переказу! 	Выберите бановскую карту для зачисления денежного перевода!
20000903314 	Your client not a master, and can`t add another clients 	Ваш клієнт замовник не має можливості додавати іншого клієнта у структуру
20000203324 	Access denied 	Доступ заборонено
20000203327 	Payment NonCash is unavailable for payer Recipient 	Оплата за безготівковим розрахунком недоступна для типу платника Отримувач
20000203329 	You cann't arrange delivery to address 	Доставка на адресу недоступна
20000203330 	External Service failure 	Сервіс тимчасово недоступний
20000203331 	Settlement for Recipient not found 	Населений пункт Отримувача не знайдено
20000903334 	FactualWeight is invalid 	Фактична вага недійсна
20000203340 	RedeliveryString can not be more than 29 999 	Сума зворотної доставки не може бути більше 29 999
20000204096 	Cash payment sum is greater then 75000 	Вартість сукупно наданих послуг на адресі не може перевищувати 75 000 грн
20000203343 	Minimum AfterpaymentOnGoodsCost is 0.1 	Мінімальна сума контролю оплати 0.1
20000203344 	У відділенні Отримувача дозволена максимальна об'ємна вага на одне місце 	У відділенні Отримувача дозволена максимальна об'ємна вага на одне місце
20003303350 	Service blocked for selected contract 	Шановний клієнте! На жаль, ми не зможемо прийняти від вас запит на зміну/додавання адреси електронної пошти/провайдера для ЕДО через умови діючого договору з компанією Нова Пошта, а саме через умову обміну первинними документами в паперовому форматі. За наявності бажання працювати через засоби електронного документообігу - прохання звернутися до персонального менеджера або гарячої лінії (0-800-500-609)
20000303351 	Please update your application to the latest version 	Будь ласка, оновіть додаток або спробуйте пізніше
20003303352 	You can not add new EMail before 3 minutes 	Додавання нової скриньки можливо раз у 3 хвилини, зачекайте будь ласка
20003303353 	You Cannot delete your single existing email 	Видалення неможливе, хоча б одна скринька повинна залишитись
20003303354 	Count of Email addresses is more then 5 	Кількість скриньок не повинна перевищувати 5
20003303355 	You can not delete EMail before 3 minutes 	Видалення скриньки можливо раз у 3 хвилини, зачекайте будь ласка
20003303356 	InternetCounterpartyRef is empty 	Ідентифікатор контрагенту не вказаний у запиті
20003303357 	DateFrom has invalid format 	Дата початку вказана не корректно
20003303358 	EMail is empty 	Будь ласка вкажіть пошту
20003303359 	EMail is invalid 	Пошта вказана не вірно
20003303360 	Contract from request not found 	Договір із запиту не знайдено
20000203361 	"Please update your application to the latest version": "BackwardDeliveryDataValidate" 	«Будь ласка, оновіть свою програму до останньої версії»: «Перевірка даних про зворотну доставку»
20000103370 	Please wait several minutes to register again 	Будь ласка, зачекайте. Запит в обробці
20003303375 	MailingAddressString is invalid 	Електронна пошта недійсна
20003303388 	MailingAddress not found 	Поштову адресу не знайдено
20003403399 	Ref not found 	Клієнта не знайдено
20003403400 	Record not found 	Запис не знайдено
20003403401 	Wrong OrderBy structure 	Невірно зазначені параметри сортування
20003403402 	InternetCounterpartyRefs должен быть массив 	 
20003403405 	CidLegal is not exist 	Контрагент не існує
20003403406 	CidPhisical is not exist 	Клієнт не існує
20003403407 	Counterparty Ref is required field 	Контрагент обов'язкове поле
20003403408 	Контрагент Ref не найден 	 
20003403410 	Сотрудник с этим телефоном уже существует 	 
20003403411 	Wrong Status value 	Невірне значення статусу
20003403412 	Statuses is incorrect 	Невірні статуси
20003403413 	Statuses must be array 	Статуси мають бути вказані масивом
20003403414 	Коллаборационист не найден 	 
20003403415 	InternetCounterpartyRefs must be array 	Перелік контрагентів має бути вказаний масивом
20003403416 	Counterparty Ref not found 	Контрагента не знайдено
20003403417 	Collaborator not found 	Організацію не знайдено
20003403418 	Collaborator with this phone already exists 	Співробітник з таким номером вже існує
20003403420 	Дата рождения не уточняется 	Не вказано дату народження
20003403421 	РождениеDate недействительный формат 	Невірний формат дати
20000303424 	На підставі вказаної ЕН вже оформлено Замовлення на переадресування». Повторно оформити неможливо. 	На підставі вказаної ЕН вже оформлено "Замовлення на переадресування". Повторно оформити неможливо.
20000203433 	Method is not exist more. 	Метод більше не використовується
	Sender Warehouse max allowed place Weight is 	У відділенні Відправника перевищено максимальну вагу місця
	Recipient Warehouse max allowed place Weight is 	У відділенні Отримувача перевищено дозволену максимальну вагу на одне місце
20000103434 	Phone can not be changed 	Редагування номеру телефону заблоковано. Створіть нову карту клієнта
20002303438 	User with this Email already exists 	Користувач з цим E-mail вже існує
20000203456 	SenderContactPhone invalid format 	Некоректний формат номера телефона відправника
20000203457 	RecipientContactPhone invalid format 	Некоректний формат номера телефона отримувача
20000203502 	SenderAddress not found 	Адресу відправника не знайдено
20000303516 	ExpressWaybill closed 	Відправлення отримано
20002503517 	Документ не належить даному користувачу 	Документ не належить даному користувачу
20000203532 	Payout is not valid 	 
20002103528 	fatal error 603 	Зверніться до служби підтримки: support@novaposhta.ua
20001303534 	Print date cannot be less then yesterday 	Роздрукований документ може бути доданий до реєстру, тільки якщо дата документа дорівнює поточній даті, або менше на день
20000303543 	"Шановний клієнт! Ви вже використали спробу подовження терміну зберігання відправлення. Для повторного подовження зверніться до Відправника. Дякуємо!" 	Шановний клієнт! Ви вже використали спробу подовження терміну зберігання відправлення. Для повторного подовження зверніться до Відправника. Дякуємо! 
20000303544 	Заборонено подовження терміну зберігання! На підставі вказаної ЕН оформлено Заяву на переадресування. 	Заборонено подовження терміну зберігання! На підставі вказаної ЕН оформлено Заяву на переадресування. 
20000303545 	Переадресування до поштомату недоступне. Відправлення не відповідає вимогам прийому у поштоматі 	Переадресування до поштомату недоступне. Відправлення не відповідає вимогам прийому у поштоматі
20000203554 	OptionsSeat is empty or one of option is empty 	Не вказані параметри вантажу або один з параметрів не зазначений
20000203557 	Sender Warehouse max allowed weight: 30 	У відділенні Відправника дозволена максимальна вага: 30
20000203558 	Sender Warehouse max allowed weight: 5 	У відділенні Відправника дозволена максимальна вага: 5
20000203559 	Sender Warehouse max allowed weight: 2 	У відділенні Відправника дозволена максимальна вага: 2
20000203561 	Sender Warehouse max allowed weight: 15 	У відділенні Відправника дозволена максимальна вага: 15
20000203562 	Recipient Warehouse max allowed weight: 	У відділенні Одержувача дозволена максимальна вага:
20000203563 	Recipient Warehouse max allowed weight: 5 	У відділенні Одержувача дозволена максимальна вага: 5
20000203564 	Recipient Warehouse max allowed weight: 20 	У відділенні Одержувача дозволена максимальна вага: 20
20000203565 	Recipient Warehouse max allowed weight: 15 	У відділенні Одержувача дозволена максимальна вага: 15
20000203566 	The selected recipient does not have the EDRPOU. Create a new Recipient or issue a Document to an individual 	За вказаним Одержувачем не знайдено організацію з ЕДРПОУ. Створіть нового Одержувача або оформіть ЕН на приватну особу
20001703567 	Document payed by loyalty points. Payment cancelling denied 	Документ оплачено балами лояльності. Відміна оплати неможлива
20000903568 	You have already ordered a client with Ref da0b09e8-f696-11ea-8513-b88303659df5 report today. The order may not be more than 3 / a day 	Сьогодні ви вже замовили звіт по клієнту Ref da0b09e8-f696-11ea-8513-b88303659df5. Замовлення може бути не більше 3 разів на день
20000203584 	1Counterparty creation problem. RecipientName incorrect 	Проблема створення контрагента. Неправильне ім’я одержувача
20000203586 	RedBoxBarcode not allowed with NonCash 	Використання redBOX неможливе для клієнтів з безготівковою формою розрахунку
20001703596 	Recipient must have full name 	Прізвище, ім'я, по батькові Отримувача в ЕН вказано не повністю. Оплата онлайн не можлива
20000203597 	Recipient Warehouse max allowed Length is 30 	У відділенні Отримувача дозволена максимальна довжина: 30
20000303600 	Неможливо виконати замовлення, відсутні вільні комірки. Оберіть інше найближче відділення, що відповідає вимогам прийому. 	Неможливо виконати замовлення, відсутні вільні комірки. Оберіть інше найближче відділення, що відповідає вимогам прийому.
20000303601 	ЕН переадресування. Оформити переадресування повторно неможливо. 	ЕН переадресування. Оформити переадресування повторно неможливо.
20000203602 	Special Cargo only from/to cargo type of warehouses or doors 	Оформлення відправлень з категорією «Ручна обробка» дозволено лише з/на вантажні відділення, пункти приймання-відправки та адресу
20003503603 	DescriptionTemplate is incorrect 	Не зазначено назва шаблону
20000203605 	TiresWheels is not allowed for checked type of warehouse 	Тип відправлення "Шини-диски" не допустимий для обраного типу відділення
20000303606 	EW in RouteSheet 	Ваша посилка вже видана кур'єру, тому зараз неможливо перенести доставку. Будь ласка, зачекайте на його дзвінок та перенесіть доставку в телефонному режимі.
20000303607 	Послуга недоступна, кур'єр вже скоро прибуде до вас з посилкою 	Послуга недоступна, кур'єр вже скоро прибуде до вас з посилкою
20000203608 	Not allowed Service by constructor: SameDayDelivery 	Недоступна послуга: Локал експрес
20000203609 	Not allowed Service by constructor: SignedDocuments 	Недоступна послуга: Контроль підпису документів
20000203610 	Not allowed Service by constructor: RedBoxPayerRecipientOrder 	Недоступна послуга: Оплата редбоксу Отримувачем
20000203611 	Not allowed Service by constructor: DeliveryByHand 	Недоступна послуга: Особисто в руки
20000203612 	Not allowed Service by constructor: LiftingWithElevator 	Недоступна послуга: Підйом на поверх з ліфтом
20000203613 	Not allowed Service by constructor: FillingWarranty 	Недоступна послуга: Гарантійний талон
20000203614 	Not allowed Service by constructor: AfterpaymentOnGoodsCost 	Недоступна послуга: Контроль оплати
20000203615 	Not allowed Service by constructor: CardDelivery 	Недоступна послуга: Доставка карт
20000203616 	Maximum parameter value Weight 1000 	Максимальна вага при адресному обслуговуванні: 1000 кг на одне місце
20000203617 	Maximum parameter value Length 300 	Максимальна довжина посилки при адресному обслуговуванні: 300 см
20000203618 	Maximum parameter value Width 170 	Максимальна ширина посилки при адресному обслуговуванні: 170 см
20000203619 	Maximum parameter value Height 170 	Максимальна висота посилки при адресному обслуговуванні: 170 см
20000203620 	Maximum parameter value VolumetricWeight 1000 	Максимальна об'ємна вага при адресному обслуговуванні: 1000 кг на одне місце
20000303621 	Переадресування відправлення з послугою "Доставка карт" доступне лише до Відділення, за винятком партнерських. 	Переадресування відправлення з послугою "Доставка карт" доступне лише до Відділення, за винятком партнерських.
20000203623 	Not allowed Service by constructor: 	Недоступна послуга:
20003503664 	SenderAddress doesn't exists 	Адреси Відправника не існує
20003503672 	AlternativeRecipientAddress doesn't exists 	Альтернативна адреса Отримувача не існує
20001303679 	Register in processing. Unable to delete document 	Документ опрацьовано. Видалення недоступно
20000203680 	Not allowed Service by constructor: SubtypesDocuments 	Недоступна послуга: Підтипи документів
20000203681 	Not allowed Service by constructor: ForwardingCount 	Недоступна послуга: Контроль поштучної передачі
20000203682 	Not allowed Service by constructor: AviaDelivery 	Недоступна послуга: Авіадоставка
20000203683 	Not allowed Service by constructor: NumberOfFloorsDescent 	Недоступна послуга: Спуск з поверху
20000203684 	Not allowed Service by constructor: Money 	Недоступна послуга: Грошовий переказ
20000203685 	Not allowed Service by constructor: OnlineCredit 	Недоступна послуга: Онлайн-кредит
20000203686 	Not allowed Service by constructor: TimeInterval 	Недоступна послуга: Доставка в часові інтервали
20000203687 	Not allowed Service by constructor: NumberOfFloorsLifting 	Недоступна послуга: Підйом на поверх
20000203688 	Not allowed Service by constructor: DescentFromFloorWithElevator 	Недоступна послуга: Спуск з поверху (ліфт)
20000303713 	Наразі повторна переадресація в поштомат - недоступна. Отримайте посилку у відділенні або замовте адресну доставку. Вибачте за незручності. 	Наразі повторна переадресація в поштомат - недоступна. Отримайте посилку у відділенні або замовте адресну доставку. Вибачте за незручності.
20000303714 	Наразі повторна переадресація в поштомат - недоступна. Отримайте посилку у відділенні або замовте адресну доставку. Вибачте за незручності. 	Наразі повторна переадресація в поштомат - недоступна. Отримайте посилку у відділенні або замовте адресну доставку. Вибачте за незручності.
20000403715 	SenderHouse is incorrect 	Значення будинок відправника вказано некоректно
20000403716 	SenderHouse is incorrect 	Значення будинок відправника вказано некоректно
20000203726 	Recipient Warehouse Max Cost exceeded: MaxCost 	Для відділення отримувача перевищено максимальну оголошену вартість MaxCost
20000203727 	Sender Warehouse Max Cost exceeded: MaxCost 	Для відділення відправника перевищено максимальну оголошену вартість MaxCost
20000503728 	Test error tagKay 	Тест тег українською tagKay
20000203729 	Recipient Warehouse max allowed WeightType: TotalMaxAllowedWeight 	У відділенні Отримувача дозволена максимальна вага: TotalMaxAllowedWeight
20000203730 	Recipient Warehouse max allowed Width is MaxWidthRecipient 	У відділенні Отримувача перевищено максимальну ширину MaxWidthRecipient
20000203731 	Recipient Warehouse max allowed Length is MaxLengthRecipient 	У відділенні Отримувача дозволена максимальна довжина MaxLengthRecipient
20000203732 	Recipient Warehouse max allowed Height is MaxHeightRecipient 	У відділенні Отримувача дозволено максимальну висоту MaxHeightRecipient
20000203733 	Recipient Warehouse max allowed place Weight is MaxWeightPlaceRecipient 	У відділенні Отримувача дозволена максимальна вага на місце MaxWeightPlaceRecipient
20000203734 	Recipient Warehouse place max allowed volumeweight: MaxWeightPlaceRecipient 	У відділенні Отримувача перевищено максимальну вагу на місце MaxWeightPlaceRecipient
20000203735 	Sender Warehouse max allowed Width is MaxWidthSender 	У відділенні Відправника дозволено максимальну ширину MaxWidthSender
20000203736 	Sender Warehouse max allowed Length is MaxLengthSender 	У відділенні Відправника дозволено максимальну довжину MaxLengthSender
20000203737 	Sender Warehouse max allowed Height is MaxHeightSender 	У відділенні Відправника дозволено максимальну висоту MaxHeightSender
20000203738 	Sender Warehouse max allowed place Weight is MaxWeightPlaceSender 	У відділенні Відправника дозволена максимальна вага на місце MaxWeightPlaceSender
20000203739 	Sender Warehouse place max allowed volumeweight MaxWeightPlaceSender 	У відділенні Відправника дозволено максимальну вагу на місце MaxWeightPlaceSender
20000303743 	Cost is to high for chosen recipient warehouse for redirection. Cost must be less than 10000 UAH. Specify a different branch. 	Оголошена вартість відправлення для вибраного складу одержувача для переадресування занадто висока. Вартість повинна бути менше 10000 грн. Вкажіть інший склад одержувача.
20000203744 	Max Cost for weight up to 100 KG is 399999 UAH 	Оціночна вартість відправлення вагою до 100 кг немає перевищувати 399 999 грн
20000203745 	Max Cost for weight more then 100 KG is 1000000 UAH 	Оціночна вартість відправлення вагою понад 100 кг немаж первищувати 1 000 000 грн
20000303747 	Please wait 	Зачекайте, будь ласка, Ваш запит обробляється.
20000203775 	Max Cost for weight more then 30 KG is 5 000 000 UAH 	Оціночна вартість відправлення вагою понад 30 кг немає перевищувати 5 000 000 грн
20000203776 	Max Cost for weight up to 30 KG is 1 000 000 UAH 	Оціночна вартість відправлення вагою до 30 кг немає перевищувати 1 000 000 грн
20000203780 	SecurePayment is unavailable 	Відправити посилку із послугою Сейф-сервіс можливо тільки до відділення
20002203783 	DeliveryType is incorrect 	Тип доставки вказано некоректно
20000203785 	Token Timeout Error 	Виникла помилка. Будь ласка, повторіть спробу
20000203786 	Sender Warehouse max allowed WeightType: TotalMaxAllowedWeight 	У відділенні Відправника дозволена максимальна вага TotalMaxAllowedWeight
20000303787 	Refusal of the parcel is not available. 	На жаль, відмова не доступна.
20000203788 	Promocode is already applied 	Повторне використання промокоду неможливе!
20000103789 	Phone cannot be changed, it`s already in use 	Обраний телефон вже використовується, нажаль зміна неможліва
20000303792 	В обране відділення доступна доставка з оголошеною вартістю до 10000 грн 	В обране відділення доступна доставка з оголошеною вартістю до 10000 грн
20000303796 	Недопустиме значення параметрів вантажу, введіть точні габарити відправлення! 	Оберіть інше відділення. Переадресування до поштомату з обраними параметрами посилки недоступне
20000303797 	Неможливо виконати замовлення, відсутні вільні комірки. Запропонуйте Клієнту обрати інше найближче відділення, що відповідає вимогам прийому. 	Неможливо виконати замовлення, відсутні вільні комірки. Оберіть інше найближче відділення, що відповідає вимогам прийому.
20000303798 	Зазначте нову адресу Отримувача! 	Зазначте нову адресу Отримувача!
20000303799 	Duplicate creation is not available 	Створення дублікату посилки недоступно!
20000303801 	Оформлення відправлень з категорією «Ручна обробка» дозволена лише з/на вантажні відділення 	Переадресування відправлень з категорією «Ручна обробка» дозволена лише з/на вантажні відділення
20000203802 	Max param value sizes is MaxParamRecipient 	Максимальний розмір значення сторони становить MaxParamRecipient
20000303803 	Conversely Duplicate creation is not available 	Послуга "Відправка навпаки" недоступна
20000203804 	The number of attempts to enter a promocode has been exceeded. It will be possible to use the service in 24 hours from the moment of the last attempt. You have the opportunity to use the promocode by providing it to the operator at the branch. 	 
20002303805 	TaxSystem is empty 	Не заповнено статус платника ПДВ
20000203806 	Sender Warehouse place max allowed WeightType: PlaceMaxAllowedWeight 	У відділенні Відправника на місце дозволено максимальну WeightType: PlaceMaxAllowedWeight
20000303807 	EW is closed 	Послуга недоступна, оскільки посилка вже отримана
20000303808 	EW has ordered CargoReturn 	Послуга недоуступна, оскільки створена заявка на повернення посилки відправнику
20000303809 	EW is redirected 	Посилка була переадресована і отримала новий номер. Будь ласка, спробуйте перенести доставку посилки за новим номером.
20000203810 	Pay EW by loyalty points error, try again later 	Помилка при оплаті документа балами лояльності, повторіть спробу пізніше
20000203811 	Service is not allowed: ServiceName 	Заборонено обирати послугу: ServiceName
20000103812 	Authorization failed. Minutes to the next authorization attempt: 14 	Помилка авторизації. Хвилин до наступної спроби авторизації: 14
20000103813 	Authorization failed. Minutes to the next authorization attempt: 13 	Помилка авторизації. Хвилин до наступної спроби авторизації: 13
20000103814 	Authorization failed. Minutes to the next authorization attempt: 12 	Помилка авторизації. Хвилин до наступної спроби авторизації: 12
20000103815 	Authorization failed. Minutes to the next authorization attempt: 11 	Помилка авторизації. Хвилин до наступної спроби авторизації: 11
20000103816 	Authorization failed. Minutes to the next authorization attempt: 10 	Помилка авторизації. Хвилин до наступної спроби авторизації: 10
20000103817 	Authorization failed. Minutes to the next authorization attempt: 9 	Помилка авторизації. Хвилин до наступної спроби авторизації: 9
20000103818 	Authorization failed. Minutes to the next authorization attempt: 8 	Помилка авторизації. Хвилин до наступної спроби авторизації: 8
20000103819 	Authorization failed. Minutes to the next authorization attempt: 7 	Помилка авторизації. Хвилин до наступної спроби авторизації: 7
20000103820 	Authorization failed. Minutes to the next authorization attempt: 6 	Помилка авторизації. Хвилин до наступної спроби авторизації: 6
20000103821 	Authorization failed. Minutes to the next authorization attempt: 5 	Помилка авторизації. Хвилин до наступної спроби авторизації: 5
20000103822 	Authorization failed. Minutes to the next authorization attempt: 4 	Помилка авторизації. Хвилин до наступної спроби авторизації: 4
20000103823 	Authorization failed. Minutes to the next authorization attempt: 3 	Помилка авторизації. Хвилин до наступної спроби авторизації: 3
20000103824 	Authorization failed. Minutes to the next authorization attempt: 2 	Помилка авторизації. Хвилин до наступної спроби авторизації: 2
20000103854 	BruteForce 	Перевищено ліміт запитів з вашої IP адреси, зверніться до служби підтримки НП
20000303855 	Не відповідає умовам оплати. 	Не відповідає умовам оплати.
20000203868 	SenderWarehouse is denied to select 	Оберіть інше відділення Відправника
20000203869 	RecipientWarehouse is denied to select 	Оберіть інше відділення Отримувача
20000203872 	Payment by loyalty points is temporary unavailable 	Оплата бонус-знижкою тимчасово недоступна
20000403878 	Pickup is not available for this city district 	Виклик кур'єра тимчасово не доступний для вказаної адреси
20003603897 	Car call is not available for this city 	Виклик кур'єра тимчасово не доступний для вказаного міста
20003603908 	FactualWeight must be specified 	Будь ласка, вкажіть у заявці планову вагу вашого відправлення
20003603919 	Car call is not available for this city district 	Виклик кур'єра тимчасово не доступний для вказаної адреси
20000203930 	У місті Відправника послуга Виклик кур'єра тимчасово не надається 	У місті Відправника послуга Виклик кур'єра тимчасово не надається
20000303931 	Обране відділення працює тільки на видачу залишків відправлень. Оберіть інше відділення 	Обране відділення працює тільки на видачу залишків відправлень. Оберіть інше відділення
20000303932 	За адресою Відправника послуги Нової Пошти тимчасово не надаються 	За адресою Відправника послуги Нової Пошти тимчасово не надаються
20000303933 	За адресою Отримувача послуги Нової Пошти тимчасово не надаються 	За адресою Отримувача послуги Нової Пошти тимчасово не надаються
20000203934 	У місті Отримувача послуга доставки на Адресу тимчасово не надається 	У місті Отримувача послуга доставки на адресу тимчасово не надається
20000203936 	На даний момент доставка в обраний регіон недоступна 	На даний момент доставка в обраний регіон недоступна
20000503938 	WarehouseIndex is invalid 	Вказано некоректне значення Індексу НП. Допустимі значення цифри і слеш
20000203939 	Заборонена послуга Пункт передачі для поштомату! 	На жаль, дана послуга поки що не є доступною. Але ми вже над цим працюємо!
20001703940 	Parcel is in Postomat. Payment cancelling denied 	Посилка завантажена у поштомат. Відміна оплати неможлива.
20000203941 	Parcel is in Postomat. Update denied 	Посилка завантажена у поштомат. Редагування заборонено.
20000303942 	ЕН знаходиться на відділенні категорії «Пункт приймання-видачі», де відсутній доступ до ІС. Замовлення додаткових послуг заборонено. 	Посилка знаходиться на відділенні категорії «Пункт приймання-видачі», де відсутній доступ до інформаційної системи. Замовлення додаткових послуг заборонено.
20000203943 	Не знайдено промокод! 	За даним номером не знайдено промокод
20000103944 	The phone does not belong to the user 	Вказаний номер не належить користувачу
20000303945 	Перевищення допустимих параметрів: Габарити ШК NumberEW перевищують допустимі габарити відділення отримувача (Ш=Width, Д=Length, В=Height (см)) 	Габарити посилки NumberEW перевищують допустимі габарити відділення отримувача (Ш=Width, Д=Length, В=Height (см))
20000303946 	В обране відділення доступна доставка з оголошеною вартістю до MaxDeclaredCost грн 	В обране відділення доступна доставка з оголошеною вартістю до MaxDeclaredCost грн
20000303947 	Перевищення допустимих параметрів: Вага ЕН NumberEW перевищує допустиму вагу відділення отримувача (MaxWeightкг) 	Вага посилки NumberEW перевищує допустиму вагу відділення отримувача (MaxWeightкг)
20000303948 	Перевищення ваги: Повернення до поштомату не доступне. Вага відправлення перевищує допустиму до поштомату 	Повернення до поштомату недоступне. Вага відправлення перевищує допустиму до поштомату
20000303949 	Перевищення габаритів: Повернення до поштомату не доступне. Габарити відправлення перевищують допустимі до поштомату 	Повернення до поштомату недоступне. Габарити відправлення перевищують допустимі до поштомату
20000303950 	Перевищення ОВ: Повернення до поштомату не доступне. Оголошена вартість перевищує допустиму до поштомату 	Повернення до поштомату недоступне. Оголошена вартість перевищує допустиму до поштомату
20000303951 	Більше 1 місця: Повернення до поштомату не доступне. Кількість місць перевищує допустиму до поштомату 	Більше 1 місця: Повернення до поштомату недоступне. Кількість місць перевищує допустиму до поштомату
20000303952 	Перевищення ваги: Переадресування до поштомату не доступне. Вага відправлення перевищує допустиму до поштомату 	Переадресування до поштомату недоступне. Вага відправлення перевищує допустиму до поштомату
20000303953 	Перевищення габаритів: Переадресування до поштомату не доступне. Габарити відправлення перевищують допустимі до поштомату 	Переадресування до поштомату недоступне. Габарити відправлення перевищують допустимі до поштомату
20000303954 	Перевищення ОВ: Переадресування до поштомату не доступне. Оголошена вартість перевищує допустиму до поштомату 	Переадресування до поштомату недоступне. Оголошена вартість перевищує допустиму до поштомату
20000303955 	Більше 1 місця: Переадресування до поштомату не доступне. Кількість місць перевищує допустиму до поштомату 	Більше 1 місця: Переадресування до поштомату недоступне. Кількість місць перевищує допустиму до поштомату
	PromocodeAlreadyApplied 	Промокод вже використаний в
20000303956 	Повернення до поштомату недоступне. Вага відправлення перевищує допустиму (MaxWeight кг) до поштомату 	Повернення до поштомату недоступне. Вага відправлення перевищує допустиму (MaxWeight кг) до поштомату
20000303957 	Повернення до відділення недоступне. Вага відправлення перевищує допустиму (MaxWeight кг) до відділення 	Повернення до відділення недоступне. Вага відправлення перевищує допустиму (MaxWeight кг) до відділення
